"時間軸(年次)","管区警察局","/認知・検挙件数・検挙人員","認知件数【件】","検挙件数【件】","検挙率【%】","検挙人員【人】"
"2016年","北海道","","32,013","13,033","40.7","8,460"
"2016年","青森県","","5,050","2,274","45.0","1,621"
"2016年","岩手県","","4,223","1,891","44.8","1,282"
"2016年","宮城県","","16,466","5,599","34.0","3,209"
"2016年","秋田県","","2,947","2,041","69.3","1,364"
"2016年","山形県","","4,896","3,156","64.5","1,910"
"2016年","福島県","","11,575","4,084","35.3","2,374"
"2016年","東京都","","134,619","40,091","29.8","31,044"
"2016年","茨城県","","26,607","9,216","34.6","4,873"
"2016年","栃木県","","13,253","5,180","39.1","2,841"
"2016年","群馬県","","14,006","7,004","50.0","4,063"
"2016年","埼玉県","","69,456","18,051","26.0","12,739"
"2016年","千葉県","","57,277","15,039","26.3","10,158"
"2016年","神奈川県","","58,127","22,964","39.5","16,356"
"2016年","新潟県","","14,149","6,154","43.5","3,731"
"2016年","山梨県","","5,070","2,032","40.1","1,143"
"2016年","長野県","","10,664","4,353","40.8","2,411"
"2016年","静岡県","","22,097","9,600","43.4","6,812"
"2016年","富山県","","5,394","2,368","43.9","1,584"
"2016年","石川県","","6,202","2,684","43.3","1,687"
"2016年","福井県","","3,645","1,905","52.3","1,153"
"2016年","岐阜県","","15,607","4,827","30.9","2,845"
"2016年","愛知県","","70,254","22,116","31.5","14,505"
"2016年","三重県","","14,112","4,557","32.3","2,159"
"2016年","滋賀県","","9,573","3,341","34.9","2,172"
"2016年","京都府","","20,479","6,293","30.7","4,489"
"2016年","大阪府","","122,136","23,801","19.5","17,484"
"2016年","兵庫県","","53,183","16,486","31.0","12,145"
"2016年","奈良県","","9,307","4,524","48.6","2,415"
"2016年","和歌山県","","6,360","2,661","41.8","1,918"
"2016年","鳥取県","","2,907","1,796","61.8","942"
"2016年","島根県","","3,047","1,816","59.6","858"
"2016年","岡山県","","12,740","5,132","40.3","3,782"
"2016年","広島県","","17,107","6,792","39.7","4,989"
"2016年","山口県","","6,852","3,158","46.1","2,159"
"2016年","徳島県","","3,953","2,010","50.8","1,103"
"2016年","香川県","","6,075","2,985","49.1","1,788"
"2016年","愛媛県","","9,776","4,310","44.1","2,632"
"2016年","高知県","","4,792","2,027","42.3","1,063"
"2016年","福岡県","","46,619","17,849","38.3","10,880"
"2016年","佐賀県","","5,089","2,658","52.2","1,531"
"2016年","長崎県","","4,659","2,836","60.9","1,866"
"2016年","熊本県","","8,923","4,386","49.2","2,944"
"2016年","大分県","","4,054","2,290","56.5","1,548"
"2016年","宮崎県","","5,346","2,382","44.6","1,642"
"2016年","鹿児島県","","7,352","3,191","43.4","2,330"
"2016年","沖縄県","","8,082","4,123","51.0","3,372"
